Block Number,Timestamp,Base Fee (Gwei),ETH Price (USD)
19492996,2024-03-23 00:00:11,19.388929799,3294.16
19492700,2024-03-22 23:00:11,18.78876732,3316.25
19492404,2024-03-22 22:00:11,19.260159537,3340.69
19492108,2024-03-22 21:00:11,22.954169729,3338.01
19491813,2024-03-22 20:00:11,23.785148348,3334.28
19491513,2024-03-22 19:00:11,32.258678748,3322.27
19491216,2024-03-22 18:00:11,26.849895764,3343.04
19490919,2024-03-22 17:00:11,35.122251057,3296.21
19490620,2024-03-22 16:00:11,31.633739464,3347.21
19490322,2024-03-22 15:00:11,23.241095616,3417.21
19490024,2024-03-22 14:00:11,27.566724632,3406.71
19489727,2024-03-22 13:00:11,22.279779174,3437.61
19489433,2024-03-22 12:00:11,25.151373096,3470.39
19489134,2024-03-22 11:00:11,24.179856619,3486.47
19488834,2024-03-22 10:00:11,22.740521676,3512.5
19488540,2024-03-22 09:00:11,19.99678347,3528.38
19488243,2024-03-22 08:00:11,20.11189835,3530.2
19487945,2024-03-22 07:00:11,21.487586896,3510.23
19487648,2024-03-22 06:00:11,19.276282959,3521.24
19487349,2024-03-22 05:00:11,20.028739306,3482.33
19487053,2024-03-22 04:00:11,21.922543458,3473.2
19486755,2024-03-22 03:00:11,22.628981111,3491.11
19486457,2024-03-22 02:00:11,21.059355858,3500.0
19486160,2024-03-22 01:00:11,25.519151465,3488.51
19485861,2024-03-22 00:00:11,26.98697153,3503.15
19485565,2024-03-21 23:00:11,36.28292057,3487.11
19485266,2024-03-21 22:00:11,27.625740695,3435.85
19484971,2024-03-21 21:00:11,30.074084314,3417.41
19484673,2024-03-21 20:00:11,31.010605163,3478.84
19484377,2024-03-21 19:00:11,31.455682073,3525.92
19484084,2024-03-21 18:00:11,33.885292496,3491.06
19483789,2024-03-21 17:00:11,37.856425712,3531.68
19483490,2024-03-21 16:00:11,33.744110407,3511.84
19483197,2024-03-21 15:00:11,33.66032172,3544.25
19482899,2024-03-21 14:00:11,28.69166731,3534.69
19482605,2024-03-21 13:00:11,30.849982745,3544.45
19482306,2024-03-21 12:00:11,28.222762924,3543.13
19482009,2024-03-21 11:00:11,27.105533626,3570.23
19481711,2024-03-21 10:00:11,26.990080573,3519.54
19481414,2024-03-21 09:00:11,27.24344721,3504.46
19481119,2024-03-21 08:00:11,29.021162869,3507.59
19480823,2024-03-21 07:00:11,27.889911575,3491.95
19480528,2024-03-21 06:00:11,31.79394181,3517.0
19480233,2024-03-21 05:00:11,26.040781271,3543.0
19479936,2024-03-21 04:00:11,27.810811312,3533.56
19479640,2024-03-21 03:00:11,27.781355482,3518.5
19479341,2024-03-21 02:00:11,33.144591413,3514.69
19479044,2024-03-21 01:00:11,40.262590274,3517.6
19478745,2024-03-21 00:00:11,39.684182356,3498.99
19478446,2024-03-20 23:00:11,42.368670038,3465.19
19478148,2024-03-20 22:00:11,35.95362476,3372.35
19477851,2024-03-20 21:00:11,43.485975272,3393.73
19477555,2024-03-20 20:00:11,35.212991791,3318.09
19477258,2024-03-20 19:00:11,37.441263637,3238.79
19476963,2024-03-20 18:00:23,56.397460451,3284.19
19476664,2024-03-20 17:00:11,35.785488835,3387.47
19476367,2024-03-20 16:00:11,35.572097143,3341.1
19476068,2024-03-20 15:00:11,35.274976903,3352.37
19475769,2024-03-20 14:00:11,28.91772265,3290.32
19475471,2024-03-20 13:00:11,28.480975122,3228.26
19475177,2024-03-20 12:00:11,39.420992156,3231.51
19474886,2024-03-20 11:00:11,30.927935123,3210.16
19474586,2024-03-20 10:00:11,30.839114397,3214.99
19474289,2024-03-20 09:00:11,27.963323759,3143.6
19473991,2024-03-20 08:00:11,31.677866955,3112.9
19473693,2024-03-20 07:00:11,29.680412393,3133.05
19473396,2024-03-20 06:00:11,38.116424362,3171.87
19473100,2024-03-20 05:00:11,29.239013164,3225.21
19472802,2024-03-20 04:00:11,28.628712138,3166.72
19472509,2024-03-20 03:00:11,31.18858332,3231.99
19472215,2024-03-20 02:00:11,37.178823085,3165.45
19471920,2024-03-20 01:00:11,33.219928989,3217.22
19471624,2024-03-20 00:00:11,36.094973976,3294.57
19471327,2024-03-19 23:00:11,36.183768584,3284.22
19471032,2024-03-19 22:00:11,36.819820475,3335.98
19470734,2024-03-19 21:00:11,36.387582302,3316.51
19470435,2024-03-19 20:00:11,34.647703342,3310.81
19470139,2024-03-19 19:00:11,40.699588623,3320.49
19469843,2024-03-19 18:00:11,42.628290919,3304.64
19469544,2024-03-19 17:00:11,42.815847034,3250.64
19469247,2024-03-19 16:00:11,41.549559219,3278.29
19468953,2024-03-19 15:00:11,41.735842494,3297.6
19468654,2024-03-19 14:00:11,58.710487423,3272.12
19468357,2024-03-19 13:00:11,48.339851338,3240.35
19468059,2024-03-19 12:00:11,84.643930365,3281.39
19467761,2024-03-19 11:00:11,42.642287928,3251.3
19467467,2024-03-19 10:00:11,29.432429906,3353.4
19467169,2024-03-19 09:00:11,23.661072927,3374.18
19466871,2024-03-19 08:00:11,23.452144177,3381.65
19466576,2024-03-19 07:00:11,23.271814135,3389.09
19466279,2024-03-19 06:00:11,22.90905333,3422.92
19465982,2024-03-19 05:00:11,27.406613189,3405.01
19465688,2024-03-19 04:00:11,30.903069487,3399.56
19465393,2024-03-19 03:00:11,27.549933948,3456.89
19465096,2024-03-19 02:00:11,25.069890921,3519.05
19464799,2024-03-19 01:00:11,30.005217342,3521.17
19464503,2024-03-19 00:00:11,34.148440845,3525.41
19464207,2024-03-18 23:00:11,38.798556904,3508.64
19463914,2024-03-18 22:00:11,38.053631774,3485.4
19463616,2024-03-18 21:00:11,36.108665133,3475.8
19463317,2024-03-18 20:00:11,39.817599208,3504.27
19463020,2024-03-18 19:00:11,38.758819948,3498.99
19462722,2024-03-18 18:00:11,43.409820586,3525.21
19462427,2024-03-18 17:00:11,50.353199886,3516.66
19462131,2024-03-18 16:00:11,48.790207522,3545.41
