account,balance
0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,33161330588151
0xbea0000113b0d182f4064c86b71c315389e4715d,14334525518260
0x66efac6e6d58d4058cf017e66a0039315a3eb29c,2453000000000
0xbea0e11282e2bb5893bece110cf199501e872bad,110674154956
0xc9c32cd16bf7efb85ff14e0c8603cc90f6f2ee49,81254060564
0x21de18b6a8f78ede6d16c50a167f6b222dc08df7,80522986118
0x43b9f935c798522aaacb2bfea2f407ce5a291e9d,80400000000
0x25c1278454254f783ef8760987db8de0268c6cbe,15896705546
0x87c5e5413d60e1419fd70b17c6d299aa107efb49,12249000000
0x23e59a5b174ab23b4d6b8a1b44e60b611b0397b6,10500617337
0x498b859d2e59958e209d7dd262324c8d31b12b12,10154884037
0xbd01f3494ff4f5b6aca5689cc6220e68d684f146,8076504768
0xe68cf6eb200759349f5a367b38d6453727fd5e9a,7443525537
0x7119f398b6c06095c6e8964c1f58e7c1baa79e18,5800000000
0xbfe4ec1b5906d4be89c3f6942d1c6b04b19de79e,5707669485
0xc18bab9f644187505f391e394768949793e9894f,5253544581
0x87f4ca3e6768075ed87a8c4473890320af14ccf0,4039961627
0x4cc19a7a359f2ff54ff087f03b6887f436f08c11,3878850000
0x103cba62b51f02310f8ea33a624b948b6c1454bf,3000000000
0xa4f6638cde88f245b75670b510fd8e46fafd1678,2518835194
0x94f335a00f00d79b26336fa1c77bab6ae96f08c5,2321368905
0x1b15ed3612cd3077ba4437a1e2b924c33d4de0f9,2082981694
0x7c27a1f60b5229340bc57449cfb91ca496c3c1c1,1878848136
0x979fee925e1d2531b8efa247c42e64fd1d670241,1502525730
0xd67acddb195e31ad9e09f2cbc8d7f7891a6d44bf,1466680000
0x47e6b4a6cb47eb7c7d30820c7c460183cf7abd5b,1000000000
0x19a4fe7d0c76490cca77b45580846cdb38b9a406,992594251
0x558c4aff233f17ac0d25335410faea0453328da8,926096318
0xba27669908796b306f00df72e3041e6c41f32b4f,875840231
0x11dd6f9e1a7bb35a61fada4aec645f603050783e,812842419
0x2e6cbcfa99c5c164b0af573bc5b07c8bed18c872,704692374
0xf2d47e78dea8e0f96902c85902323d2a2012b0c0,667305944
0x251fae8f687545bdd462ba4fcdd7581051740463,581979838
0xc8d71db19694312177b99fb5d15a1d295b22671a,503360000
0x12b1c89124af9b720c1e3e8e31492d66662bf040,499897010
0x87316f7261e140273f5fc4162da578389070879f,469224030
0x7d6d548fad925c3b2f0a500b290557c7be424c12,427770050
0xd53adf794e2915b4f414be1ab2282ca8da56dcfd,415462447
0xcbd7712d9335a7a38f35b38d5dc9b5970f04e8fd,348815519
0xd2f2f6b0f48e7a12496d8c9f7a2c18e6b76e49e0,341572105
0xdecaf1d3c1b16e1ff8bc8fdc8d80d286d335e32e,334700488
0xc0c0514363049224093ec8b610c00f292d80b621,256688000
0x6eeca4051666ece16df7a7a2e3948119c98a002e,256186307
0x30cb1e845f6c03b988ec677a75700e70a019e2e4,253222101
0x6cc9b3940eb6d94cad1a25c437d9be966af821e3,252740579
0x414a26eaa23583715d71b3294f0bf5eabdd2eaa8,248479164
0xe65caecfe1626bf65f66fb4ec3c5d588a90022cb,234894994
0x06470cc9f84375233d7fac12c6fce199ce632dd6,210942792
0x58737a9b0a8a5c8a2559c457fcc9e923f9d99fb7,210411000
0x82f402847051bddaab0f5d4b481417281837c424,194562223
0x71b49dd7e69cd8a1e81f7a1e3012c7c12195b7f9,184893677
0xdff58819ab64c79d5276e4052d3e74aca493658d,174333575
0x9008d19f58aabd9ed0d60971565aa8510560ab41,141825758
0x77ab999d1e9f152156b4411e1f3e2a42dab8cd6d,141020150
0x072fa8a20fa621665b94745a8075073ceadfe1dc,135661772
0xe4452cb39ad3faa39434b9d768677b34dc90d5dc,120489386
0xb4a939498e00fc637ea6d23dacf1256539c503e3,116750712
0xd5ae1639e5ef6ecf241389894a289a7c0c398241,113870222
0x38c5ca4ee678d4f9d8d94a7f238e2700a8978b36,112679026
0x75a158b6939d9abc27b5e3ea9e79c11302cec60c,111566830
0x202eca424a8db90924a4daa3e6bcecd9311f668e,109321301
0x7d6a2f6d7c2f7dd51c47b5ea9faa3ae208185ec7,100000000
0xcb026b53c4674637663e85603e95ae539bd1bd2a,100000000
0xb47959506850b9b34a8f345179ed1c932aaa8bfa,96540240
0x9f1f4714d07859dd4c8d1312881a0700ed1c2a7e,87535611
0xacc53f19851ce116d52b730aee8772f7bd568821,84269970
0x9ae3821d72b53f767f5b72c9630ce864c54c09bc,80000000
0x575c9606cfccf6f93d2e5a0c37d2c7696bcab132,77529516
0x9821aac07d0724c69835367d596352aaf09c309c,76096126
0xde975401d53178cdf36e1301da633a8f82c33cef,70408755
0x3c58492ad9cad0d9f8570a80b6a1f02c0c1da2c5,70301838
0x46387563927595f5ef11952f74dcc2ce2e871e73,61000195
0x88f667664e61221160ddc0414868ef2f40e83324,54207252
0xdb2480a43c79126f93bd5a825dc0cba46d7c0612,50116489
0xaa4f23a13f25e88ba710243dd59305f382376252,49703615
0x88fff68c3ee825a7a59f20bfea3c80d1ac09bef1,48278967
0x7df40fde5e8680c45bfedafcf61dd6962e688562,47939000
0x7e1ca6d381e2784db210442bfc3e2b1451f773fd,46637594
0x047b22bfe547d29843c825dbcbd9e0168649d631,46303468
0xf662972ff1a9d77dcdfba640c1d01fa9d6e4fb73,42183000
0x8521cfdfd0fd1ac18520fa8f262eb948d4420c8a,42000000
0x0716a17fbaee714f1e6ab0f9d59edbc5f09815c0,42000000
0x23caea94eb856767cf71a30824d72ed5b93aa365,36518180
0x876133657f5356e376b7ae27d251444727ce9488,35054599
0xa7194f754b5befc3277d6bfa258028450da654ba,33043500
0x4779c6a1cb190221fc152af4b6adb2ea5c5dbd88,29137817
0xe4000004000bd8006e00720000d27d1fa000d43e,29031846
0xb5d0374f0c35cf84f495121f5d29ea9275414de8,28362442
0x548e13ddc5e2c6bc9456648a9a487da335b6ec25,27891707
0x3789c64cc3a8120a93e9483d526d44be7305e455,27891707
0x87a774178d49c919be273f1022de2ae106e2581e,26000000
0x58d37a1f4f38f20e841e17e7c610eb494cc1f8de,25950320
0x87263a1ac2c342a516989124d0dba63df6d0e790,23288715
0x4af7c12c7e210f4cb8f2d8e340aaadae05a9f655,23271000
0xcdea6a23b9383a88e246975ad3f38778ee0e81fc,23049092
0x7a68a90a71413e12db9cc23fac37e9608ca48f48,22715605
0xf9563a8dab33f6beab2abc34631c4eaf9ecc8b99,20907127
0x6691fb80b87b89e3ea3e7c9a4b19fdb2d75c6aad,20103791
0xa50a686bcfcdd1eb5b052c6e22c370ea1153cc15,18099438
0x6b99a6c6081068aa46a420fdb6cfbe906320fa2d,17626050
0xee98b8ac30896ba4b3c0d34b28536636b770d5f7,17014350
0xc99a41144b5de2a9d0c3cc5338f8f94912352999,16559396
0x769a8fd17ecb067a88744eee3eef1059c79df206,15211005
0x8d97775623368f833f8fa82209e220f1c60508ea,15000000
0xc4ff293174198e9aeb8f655673100eeedcbbfb1a,14680787
0x00f244126b1f29b50d45464f08de883f1ff2fb7c,14234465
0x64707d044389a2c00f5296b93ad3a7f6fd073bee,12682814
0x1125eac5f713503e2b7cb2299027960ce1aa5d42,12633543
0x54c04c9bf5af0bc3096cb0af24c4fa8379a2915e,12388488
0xdf9c4a067279857b463817ef773fe189c77e1686,12000000
0x78320e6082f9e831dd3057272f553e143dfe5b9c,11510958
0x63b98c09120e4ef75b4c122d79b39875f28a6fcc,11500608
0x682864c9bc8747c804a6137d6f0e8e087f49089e,11048400
0x905eafe9434fabacaf10d1490fcd0d1eb9b85fc8,11000000
0x961ea5962b8608dafd037f303a5fb4a4fd81bac7,10182124
0x795781de02f10d8343baf897fbb4e6a755b4ecb9,10081325
0xaf7ed02de4b8a8967b996df3b8bf28917b92edcd,9324600
0x854e4406b9c2cfdc36a8992f1718e09e5f0d2371,9104148
0x41cc24b4e568715f33fe803a6c3419708205304d,7566819
0xc52a0b002ac4e62be0d269a948e55d126a48c767,6891274
0x99bfdb688d53891d6e9e716eace90fa233a83500,6690000
0xf8d5708b32616b6c85c97f5a9c344e6b7076fe98,6227809
0x729ad565b305be00729e0a5677401dca268e6d8a,6101062
0x9b1ac8e6d08053c55713d9aa8fde1c53e9a929e2,6056743
0x4088e870e785320413288c605fd1bd6bd9d5bdae,5674104
0x0da2a82ed2c387d1751ccbaf999a80b65bdb269e,4579053
0x39041f1b366fe33f9a5a79de5120f2aee2577ebc,4255327
0xd130ab894366e4376b1afe3d52638a1087be17f4,4006187
0xbb11017d4bcb67cf083b13b5bcdb4fe121038227,3735321
0xb6cc924486681a1ca489639200dceb4c41c283d3,3551588
0x00ca340d789f00d4c978b236606c3105a09254f8,2995098
0x3aa228a80f50763045bdfc45012da124bd0a6809,2130668
0x00000000009726632680fb29d3f7a9734e3010e2,2130169
0x7b5fe7af8315acb2e37b1f343cf6f4b225fa9878,2077799
0x8a9c930896e453ca3d87f1918996423a589dd529,2011323
0xc5581f1ae61e34391824779d505ca127a4566737,1816599
0x4282341588f94c158bfaa40ae2c9f3abfdac647f,1795049
0x7c28e0977f72c5d08d5e1ac7d52a34db378282b3,1748864
0x995d1e4e2807ef2a8d7614b607a89be096313916,1645609
0x4a183b7ed67b9e14b3f45abfb2cf44ed22c29e54,1271235
0xc12df5f402a8b8beaea49ed9bad9c95fccbfe907,1173526
0x9249e360dc6f4d2871187acde4fe38d4e13a7703,1058540
0x9ec255f1af4d3e4a813aadab8ff0497398037d56,1009677
0x155e6c85fa47a7244b04f3bafa549b55f1909f93,1000000
0x5c9d09716404556646b0b4567cb4621c18581f94,972133
0x80b9aa22ccda52f40be998eeb19db4d08fafec3e,922454
0xb01f8f528702d411d24c9bb8cc0e2fff779ec013,889690
0x5ec6bc92395bfe4dfb8f45cb129ac0c2f290f23d,796853
0x5853ed4f26a3fcea565b3fbc698bb19cdf6deb85,751575
0xb32d57f94542ebfad5073adf62d70d812ddba0a5,268375
0x88ad88c5b3beae06a248e286d1ed08c27e8b043b,254632
0x8e8ae083ac4455108829789e8acb4dbdde330e2e,200000
0x8d4122ffe442de3574871b9648868c1c3396a0af,186429
0x820a2943762236e27a3a2c6ea1024117518895a5,100000
0x0ce72b7dde6ea0e9e8feeb634fcd9245e81d34f3,86451
0x6d11937490234176e6229c4b80b27fedf237465f,66150
0x14567c85977847836c17dd609a9bd767f3f03b51,60422
0xdd9f24efc84d93deef3c8745c837ab63e80abd27,58177
0x542a94e6f4d9d15aae550f7097d089f273e38f85,32581
0x19cf79e47c31464ac0b686913e02e2e70c01bd5c,9019
0xb1f0e758951a02b24d04dd211d0424445ae04c5c,8764
0x18ad8a3387aac16c794f3b14451c591fef0344fe,6488
