account,balance
0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,107919824635094
0x9f64674cab93986254c6329c4521c4f9737af864,412635026949
0xc65f06b01e114414aac120d54a2e56d2b75b1f85,149041834672
0x8afcd552709bac70a470ec1d137d535bfa4fadee,78365538823
0x253ab8294bf3fb6ab6439abc9bc7081504db9bff,44573289187
0x79645bfb4ef32902f4ee436a23e4a10a50789e54,24273580464
0x2be2273452ce4c80c0f9e9180d3f0d6eedfa7923,17411461677
0x0bfd9fc73c82be0558f3a651f10a8bd8c784f45e,15927533063
0xe7baf7af12e6b18c8cdd32292c6f06840cf71442,14586805595
0xa82240bb0291a8ef6e46a4f6b8abf4737b0b5257,10000000000
0x044c53d8576d4d700e6327c954f88388ee03b8db,9655048867
0xaa4f23a13f25e88ba710243dd59305f382376252,8798351793
0x3c7cfaf3680953f8ca3c7e319ac2a4c35870e86c,6416085500
0x23444f470c8760bef7424c457c30dc2d4378974b,5670131987
0xb8da309775c696576d26ef7d25b68c103a9ab0d5,5240156695
0xaf616daba40f81b75af5373294d4dbe29dd0e0f6,4334685782
0x1860a5c708c1e982e293aa4338bdbcafb7cb90ac,4269000000
0x8687c54f8a431134cde94ae3782cb7cba9963d12,3640000000
0x93be7761f4c7153bc462a50f9eb5eb424c39c2cd,2368110074
0x82fcd7cd3151b0ab9e4c00629f123d45ad17fa73,2105369400
0xf658305d26c8df03e9ed3ff7c7287f7233de472d,1866470834
0xcd5561b1be55c1fa4bba4749919a03219497b6ef,1309882178
0x9821aac07d0724c69835367d596352aaf09c309c,1005037990
0x575c9606cfccf6f93d2e5a0c37d2c7696bcab132,983699606
0xd8d1fa915826a24d6103e8d0fa04020c4ebc0c5e,936175040
0x8bea73aac4f7ef9daded46359a544f0bb2d1364f,882175040
0xb9488bb4f6b57093eaa9a0cf0d722ed61e8039ac,795009391
0xf05b641229bb2aa63b205ad8b423a390f7ef05a7,726877197
0x9142a918df6208ae1be65e2be0ea9dad6067155e,567271172
0x76e3d82b0c49f1c921d8c1093cd91c20ba23740d,510000000
0x9b0f5ccc13fa9fc22ab6c4766e419bb2a881eb1b,496000000
0x24294915f8b5831d710d40c277916edc0fa0ec39,336422082
0xb1d47d39c3bb868e5e4be068b7057d4caad0b31c,295066819
0x4b9184df8fa9f3fc008fcde7e7bbf7208ef5118d,100000000
0x3d93420aa8512e2bc7d77cb9352d752881706638,95422611
0xc42593f89d4b6647bff86fa309c72d5e93a9405c,50000000
0xf2f65a8a44f0bb1a634a85b1a4eb4be4d69769b6,12568525
0xc896e266368d3eb26219c5cc74a4941339218d86,957695
0x542a94e6f4d9d15aae550f7097d089f273e38f85,138988
0x40ca67ba095c038b711ad37bbebad8a586ae6f38,62697
0x1397c24478cbe0a54572adec2a333f87ad75ac02,43337
0xa6a0bed0732c49bd847b4b308daac15640f1ec6e,7802
0xf8fdcac2c64ba5e0459f67b9610bd3eda11f04ba,5894
0xd67acddb195e31ad9e09f2cbc8d7f7891a6d44bf,276
0x3dd413fd4d03b1d8fd2c9ed34553f7dec3b26f5c,9
0xd970ba10ed5e88b678cd39fa37daa765f6948733,1
