account,balance
0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,68338152592140
0x1085057e6d9ad66e73d3cc788079155660264152,203120992714
0xe6f00dde5f7622298c16a9e39b471d1c1c2de250,120581249548
0x8fe7261b58a691e40f7a21d38d27965e2d3afd6e,58799943357
0xaf616daba40f81b75af5373294d4dbe29dd0e0f6,49387419081
0xf658305d26c8df03e9ed3ff7c7287f7233de472d,32130269456
0xc6ac7c7acabc3585cfe16478fd4d22c1e8dc3c57,20951803116
0xd8388ad2ff4c781903b6d9f17a60daf4e919f2ce,18909808200
0x52c9a7e7d265a09db125b7369bc7487c589a7604,13915586466
0xb33cb651648a99f2ffff076fd3f645fac24d460f,9737535811
0xf2f65a8a44f0bb1a634a85b1a4eb4be4d69769b6,7652021349
0x0bfd9fc73c82be0558f3a651f10a8bd8c784f45e,6863712510
0x9821aac07d0724c69835367d596352aaf09c309c,6757145778
0x5f683bd8e397e11858dab751eca248e5b2afc522,6104281597
0x9142a918df6208ae1be65e2be0ea9dad6067155e,2986538692
0x7f538566f85310c901172142e8a9a892f0eaf946,2951663131
0x575c9606cfccf6f93d2e5a0c37d2c7696bcab132,2356468230
0x76e3d82b0c49f1c921d8c1093cd91c20ba23740d,2233000000
0xa86e29ad86d690f8b5a6a632cab8405d40a319fa,1755275296
0xb9488bb4f6b57093eaa9a0cf0d722ed61e8039ac,651392713
0xd45accf4512af9ceac4c3ab0e770f54212cdf9ac,500000000
0x542a94e6f4d9d15aae550f7097d089f273e38f85,614013
0x40ca67ba095c038b711ad37bbebad8a586ae6f38,605736
