address,stalk,seeds
0x00427C81629Cd592Aa068B0290425261cbB8Eba2,401060,74
0x0086e622aC7afa3e5502dc895Fd0EAB8B3A78D97,38560,8
0x0127F5b0e559D1C8C054d83f8F187CDFDc80B608,65028,12
0x01914D6E47657d6A7893F84Fc84660dc5aec08b6,11612,2
0x027DA06f9247832D294b3004F1565C8E97382A1F,152440,28
0x028afa72DADB6311107c382cF87504F37F11D482,623940,136
0x02df7e960FFda6Db4030003D1784A7639947d200,1378632,264
0x031B8ece36b2C1f14C870421A1989AEbe3d7bcFa,33606,6
0x0562695929503E930DE265F944B899dEBF93Df7c,11638,2
0x056590F16D5b314a132BbCFb1283fEc5D5C6E670,427568,108
0x05Dc8E95a479dDA8C8Fc5a27Eb825f5042048937,43856,8
0x05cD14412ccd74F05379199181aA1847ed4802fd,21534,6
0x066E9372fF4D618ba8f9b1E366463A18DD711e5E,22404,4
0x0679bE304b60cd6ff0c254a16Ceef02Cb19ca1B8,72338,14
0x069e85D4F1010DD961897dC8C095FBB5FF297434,127912,22
0x072Fa8a20fA621665B94745A8075073ceAdFE1DC,155658,44
0x083aA7FF9AE00099471902178bf2fda4e6aC14Bf,3092,2
0x0872FcfE9C10993c0e55bb0d0c61c327933D6549,18456,8
0x0898512055826732026aC02242E7D7B66fccC2B0,35120,8
0x093037BA3A1e350f549F0Ff8Ff17C86B1FfA2B4b,56220,10
0x0933F554312C7bcB86dF896c46A44AC2381383D1,331992,88
0x09Bc3c127ED4c491880c2A250d6d034696cb5fC1,8160,2
0x0E9a7280741E9B018beb5Fe409e6e21689F3B8EF,18880,4
0x0F101CcDd4673316933339C8fba5Fc3b262cf4Cb,144596,36
0x0b8e605A7446801ae645e57de5AAbbc251cD1e3c,236282,42
0x0be9A9100A95075270e47De519D53c5fc8F7C936,113846,24
0x0ccBCaA60D8b59bDf751B70Ee623d58c609170ac,8210,2
0x0e109847630A42fc85E1D47040ACAd1803078DCc,23010,6
0x0e40Cf5c020ADa54351699a004fAEbE5e709a3A2,248590,42
0x0eF8249cDF160C30d9ad1C46aa845Fd097EF498c,734466,184
0x0f5F4b5b7ca352cf4F5f2fc1Ac8A9889DECc4fCB,145256,40
0x1083D7254E01beCd64C3230612BF20E14010d646,356688,96
0x10bf1Dcb5ab7860baB1C3320163C6dddf8DCC0e4,132600,24
0x116E7Dbd690D6624FEeF080b9e8EbD6f967Fe315,214428,42
0x11D86e9F9C2a1cF597b974E50C660316c92215AA,36624,8
0x11b197e2C61c2959Ae84bC7f9db8E3fEFe511043,351532,72
0x11e2497AA81E45E824a4A4Ea8FD941a1059eD333,45440,8
0x1202fBA35cc425c07202BAA4b17fA9a37D2dBeBb,69652,12
0x127c224bF830b74B823dc3e360A9aFf22A517E00,228058,54
0x12C5EAcf06d71E7a13127E98CCb515b6B3c5f186,10168,2
0x12Ed7C9007Cf0CB79b37E33D0244aD90c2a65C0B,58846,18
0x12b1c89124aF9B720C1e3E8e31492d66662bf040,244080,42
0x13b07BE0C25E54309412870456db923e8970b724,46024,22
0x14019DBae34219EFC2305b0C1dB260Fce8520DbF,114970,20
0x1416C1FEd9c635ae1673118131c0880fCf71e3f3,308200,56
0x141B5A59B40EFCFE77D411cAd4812813F44A7254,34734,6
0x144E8fe2e2052b7b6556790a06f001B56Ba033b3,23146,4
0x14F78BdCcCD12c4f963bd0457212B3517f974b2b,667786,134
0x1584B668643617D18321a0BEc6EF3786F4b8Eb7B,255314,42
0x15884aBb6c5a8908294f25eDf22B723bAB36934F,3138208,652
0x15AD9ef623b0D635F2eEBf20e0548121CBaFc719,67260,12
0x15D6D330f374A796210EFc1445F1F3eA07A0b1EF,32748,8
0x15e6e23b97D513ac117807bb88366f00fE6d6e17,91064,16
0x166bFBb7ECF7f70454950AE18f02a149d8d4B7cE,325472,72
0x17757B0252c84341E243Ff49EEf8729eFa32f5De,220352,40
0x177f44eCDEa293f7124C3071D9C54E59fcfD16f9,20250,6
0x182D4B08462CD5B79080d77C2B149F04d330D24b,32292,6
0x184CbD89E91039E6B1EF94753B3fD41c55e40888,234000,46
0x18E50551445F051970202E2b37Ac1F0cF7dD6ADD,34860,6
0x19831b174e9deAbF9E4B355AadFD157F09E2af1F,1186014,344
0x19A4FE7D0C76490ccA77b45580846CDB38B9A406,45042,6
0x19c5baD4354e9a78A1CA0235Af29b9EAcF54fF2b,46344,8
0x1A2d5fb134f5F2a9696dd9F47D2a8c735cDB490d,116202,32
0x1B15ED3612CD3077ba4437a1e2B924C33d4de0F9,402464,74
0x1B7eA7D42c476A1E2808f23e18D850C5A4692DF7,1639096,416
0x1C4E440e9f9069427d11bB1bD73e57458eeA9577,234902,62
0x1D4D853870734161BCb46dAb0012739C21693d98,34584,6
0x1D58E9c7B65b4F07afB58c72D49979D2F2c7A3F7,389056,84
0x1Dc2Dc7110F8ee61650864ad6680fE8144b7d6F9,439992,76
0x1aD66517368179738f521AF62E1acFe8816c22a4,43896,8
0x1b17E6045234237f86c9acDeA0b637a561DeFf2E,18390,6
0x1dd6Ac8E77d4C4A959bed5d2Ae624d274C46E8Bd,414772,82
0x1f3236F64Cb6878F164e3A281c2a9393e19A6D00,23292,4
0x1fC84Da8c1DFD00a7F6D0970ed779cEc0BBf9CA4,677172,136
0x202eCa424A8Db90924a4DaA3e6BCECd9311F668e,74996,16
0x20798Fd64a342d1EE640348E42C14181fDC842d8,21480,4
0x21145738198e34A7aF32866913855ce1968006Ef,3088,2
0x21C455c2a53e4bbDF21AB805E1E6CC687E3029Aa,11618,2
0x21DC07AFeeCF13394067E31eE32059a026449C41,55008,12
0x21fA512Af0cF5ab3057c7D6Fc3b9520Baa71833D,69812,12
0x223D168d318E0598d365aA1aAc78Dfa2eCA16dcf,17928,12
0x2251A7db3B3159422cED07e3bA65494D78A66A22,77736,16
0x225C3D9CDC1F3c9EC7902216D3d315c9428AE025,23144,4
0x22618bCFaCD8eDc20DdB4CC561728f0A56e28dc1,34038,6
0x22aA1F4173b826451763EbfCE22cf54A0603163c,29992,8
0x22f5413C075Ccd56D575A54763831C4c27A37Bdb,69600,12
0x2329d6d67Dc1D4dA1858e2fe839C20E7f5456081,68292,12
0x234831d4CFF3B7027E0424e23F019657005635e1,10088,2
0x23807719299c9bA3C6d60d4097146259c7A16da3,109414,22
0x239EeC9EC218f71cEf5CC14D88b142ed4fF44110,28168,6
0x241b2Fb0b7517c784Dd0c3e20a1f655985CFaa07,108822,18
0x250192A4809194B5F5Bd4724270A7DE3376d0Bb2,41508,18
0x250997F21bbcA2fc3d4F42f23d190C0f9c4cBFDd,4770,2
0x263bFD6746489929B2F08d728FFC33D697538a92,21656,4
0x26acaa8Fa20c86875149d70Df29B01fd1061E0bb,54652,14
0x274C44d5aEcA4744eB6eF42Fede80cbee3cf2Ec5,69712,12
0x28570D9d66627e0733dFE4FCa79B8fD5b8128636,69684,12
0x2894457502751d0F92ed1e740e2c8935F879E8AE,146194,28
0x28c095d163107c5e9Ca83b932Ea14863B224D2B3,45780,10
0x2908A0379cBaFe2E8e523F735717447579Fc3c37,116016,20
0x2936227dB7a813aDdeB329e8AD034c66A82e7dDE,110400,20
0x295EFA47F527b30B45e51E6F5b4f4b88CF77cA17,307434,54
0x2972bf9B54aC5100d747150Dfd684899c0aBEc5E,864404,212
0x2991e5C0aF1877C6AB782154f0dCF3c15e3dbEC3,46424,8
0x2A1A1D4E4257DbbA1136992577FF1b5EfDa1bB34,184736,54
0x2A5c5E614AC54969790c8e383487289CBAA0aF82,9936,2
0x2A8e0ebDA46A075D77d197D21292e38D37a20AB3,21726,2
0x2A8eAc696c57a38aC79ae6168e8310306B4D7E9c,140930,30
0x2B83aC024B0a4Ba3f93776Cacb61D98310614aFE,4600,2
0x2BFB526403f27751d2333a866b1De0ac8D1b58e8,22508,4
0x2Be2273452ce4C80c0f9e9180D3f0d6eEDfa7923,8178,6
0x2DF6A706Ee101556D68d7e52CE4d066Fb4C9B16e,84720,16
0x2E9af3a1f42435354846Bff3681771b5E3551121,124510,28
0x2F0441f249BDb0146223a2e3b60c146badd667A4,19938,6
0x2F8C6f2DaE4b1Fb3f357c63256Fe0543b0bD42Fb,11288,8
0x2a40AAf3e076187B67CcCE82E20da5Ce27Caa2A7,99278,18
0x2bE9518cc2a9fc2aA15b78b92D96E0727a07DF7C,10748,2
0x2bF046A052942B53Ca6746de4D3295d8f10d4562,207478,38
0x2cD896e533983C61B0f72e6f4BbF809711AcC5CE,585540,124
0x2d4710a99D8DCBCDDf407c672c233c9B1b2F8bfb,185350,34
0x2e5Ae37154e3F0684a02CC1324359b56592Ee1a8,190794,54
0x2e676e0f071376e12eD9e12a031D01B9B87F5878,270184,48
0x2e6cbcFA99C5c164B0AF573Bc5B07c8beD18c872,38654,8
0x2e95A39eF19c5620887C0d9822916c0406E4E75e,154880,32
0x305C5E928370941BE39b76DeB770d9Be299A5fF3,880220,186
0x305b0eCf72634825f7231058444c65D885E1f327,205108,52
0x30709180d8747E5BC0bD6E1BFf51baEdAB31328D,253812,44
0x30A1fbFc214D2Af0A68f6652A1d18a1b71Dfa9eA,487422,90
0x31188536865De4593040fAfC4e175E190518e4Ef,21708,2
0x31DEae0DDc9f0D0207D13fc56927f067F493d324,54224,12
0x3213977900A71e183818472e795c76aF8cbC3a3E,18868,4
0x32a0d4eb7F312916473ea9bAFb8Db6b6f1b4C32e,281516,58
0x32a59b87352e980dD6aB1bAF462696D28e63525D,114444,24
